"UID","ID","PID","BASISFORPROPERTYSEIZURE","INSERTDATETIME"
"105487c",105487,1,"Contraband","2024-11-13 10:21:57.617"
"105487c",105487,1,"Evidence","2024-11-13 10:21:57.617"
"105487c",105487,2,"Evidence","2024-11-13 10:21:57.617"
"105487c",105487,2,"Contraband","2024-11-13 10:21:57.617"
"105490c",105490,1,"Contraband","2024-11-13 10:21:57.617"
"105490c",105490,1,"Evidence","2024-11-13 10:21:57.617"
"105514c",105514,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"105575c",105575,1,"Evidence","2024-11-13 10:21:57.617"
"105575c",105575,1,"Contraband","2024-11-13 10:21:57.617"
"105585c",105585,1,"Evidence","2024-11-13 10:21:57.617"
"105727c",105727,1,"Evidence","2024-11-13 10:21:57.617"
"105727c",105727,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"105774c",105774,1,"Contraband","2024-11-13 10:21:57.617"
"105774c",105774,1,"Evidence","2024-11-13 10:21:57.617"
"105781c",105781,1,"Contraband","2024-11-13 10:21:57.617"
"105781c",105781,1,"Evidence","2024-11-13 10:21:57.617"
"105781c",105781,2,"Contraband","2024-11-13 10:21:57.617"
"105781c",105781,2,"Evidence","2024-11-13 10:21:57.617"
"105783c",105783,1,"Contraband","2024-11-13 10:21:57.617"
"105783c",105783,1,"Evidence","2024-11-13 10:21:57.617"
"105838c",105838,1,"Evidence","2024-11-13 10:21:57.617"
"105838c",105838,1,"Contraband","2024-11-13 10:21:57.617"
"105864c",105864,1,"Evidence","2024-11-13 10:21:57.617"
"106088c",106088,1,"Contraband","2024-11-13 10:21:57.617"
"106150c",106150,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"106180c",106180,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"106357c",106357,1,"Evidence","2024-11-13 10:21:57.617"
"106487c",106487,1,"Contraband","2024-11-13 10:21:57.617"
"106554c",106554,1,"Impound of vehicle","2024-11-13 10:21:57.617"
